id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4425751,"2 bedrooms, cosy sitting areas & rooftop terrace",3093188,Saskia,,Stadspark,51.20934,4.41503,Private room,64,1,119,2024-12-23,0.98,1,201,7,
4468570,Chic Industrial Loft with Modern Tech in Antwerp.,23161267,Siegert,,Eilandje,51.22734,4.41206,Entire home/apt,125,21,1,2024-07-12,0.18,1,267,1,
4502646,Unique city loft with amazing view!,13059720,Yara,,Historisch Centrum,51.21873,4.39914,Entire home/apt,82,1,871,2024-12-01,7.11,1,312,65,
4733497,"Louise Marie, romantisch huisje",24249803,Michel,,Sint-Andries,51.21743,4.39925,Entire home/apt,,2,120,2021-12-05,0.99,1,0,0,
4900847,Lovely house great location,15529473,Liesbeth,,Borgerhout Intra Muros Noord,51.21784,4.43281,Entire home/apt,,2,8,2020-01-01,0.07,2,0,0,
4980368,2 bedroom appartement in Antwerp with amazing view,25674863,Sam,,Groenenhoek,51.20373,4.4406,Entire home/apt,131,2,20,2024-08-24,0.19,2,172,2,
4985922,Sfeervolle studio in hartje Antwerp,25701603,Nadi,,Harmonie,51.20845,4.40583,Entire home/apt,98,2,65,2024-12-15,0.56,1,356,14,
5026455,The Hamsa,4492282,Lies,,Sint-Andries,51.21645,4.40084,Entire home/apt,171,2,87,2020-03-16,0.72,1,209,0,
5047962,Quiet place in an historical quarter,12309348,Luc & Kristina,,Haringrode,51.2027654,4.4244886,Private room,60,2,190,2024-12-15,1.58,1,274,12,
5143364,Light flat + seperate workspace,15066463,Lien,,Borgerhout Intra Muros Zuid,51.21311,4.43188,Entire home/apt,,5,1,2023-08-31,0.06,1,0,0,
5233718,Apartment in Antwerp,27086764,Nina,,Theaterbuurt-Meir,51.21543,4.41303,Entire home/apt,140,3,39,2024-10-28,0.32,1,259,8,
5379855,Classy and spacious 19th cent loft with terrace.,6930093,"Ian, Jande En Marie",,Borgerhout Intra Muros Zuid,51.21492,4.43353,Entire home/apt,407,3,261,2024-12-17,2.20,4,142,17,
5574536,Central studio in historic center,28902892,AchA,,Historisch Centrum,51.21839,4.40051,Entire home/apt,122,2,164,2024-12-08,1.39,2,348,11,
5575185,Central apartment w/ exclusive view,28902892,AchA,,Historisch Centrum,51.2203,4.39997,Entire home/apt,141,2,370,2024-12-09,3.12,2,225,47,
5578067,Design loft in historic building,28920566,Jasper,,Universiteitsbuurt,51.22239,4.41479,Private room,100,2,249,2024-12-20,2.10,1,77,15,
5646286,Artistic Guesthouse WILMA - Hidden Gem in Antwerp,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438201904296875,Entire home/apt,120,2,94,2024-10-29,0.79,3,31,8,
