41202359;2023-11-27 09:46:27;2023-11-27 12:21:05;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;Sí;8;9;9;10;10;0;10;;;10;Sí;10;9;9;Mayor número de salas de ensayo y mantenimiento de atriles. ;De 26 a 40 años;Mujer;
41202421;2023-11-27 09:59:41;2023-11-27 10:01:46;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;10;No;;Sí;10;Sí;8;9;9;9;10;5;9;9;10;10;No;;5;9;;De 41 a 64 años;Hombre;
41205197;2023-11-27 12:21:27;2023-11-27 14:01:50;339096;;Completa;Tablet;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;Sí;10;No;;No;;Sí;10;10;10;10;10;10;;10;10;10;Sí;10;10;10;Genial;De 18 a 25 años;Mujer;
41205876;2023-11-27 14:02:07;2023-11-27 14:04:23;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;Servicio de reprografía de documentos (fotocopias, digitalización);;Sí;10;Sí;10;No;;Sí;10;10;10;10;10;;10;;;10;No;;10;10;;Más de 65 años;Hombre;
41217785;2023-11-28 09:12:34;2023-11-29 13:59:34;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;Servicio de información general y especializada;Servicio de reprografía de documentos (fotocopias, digitalización);;Sí;10;Sí;10;Sí;10;Sí;10;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;De 41 a 64 años;Hombre;
41232871;2023-11-28 19:51:53;2023-11-28 19:55:00;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;;;No;;;;9;9;;;;;;No;;9;9;;Más de 65 años;Hombre;
41238194;2023-11-29 14:00:02;2023-11-29 14:01:17;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;;10;;;10;;Sí;;10;10;;De 26 a 40 años;Mujer;
41238200;2023-11-29 14:01:41;2023-11-29 14:02:52;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;;9;9;9;9;;9;;9;;9;No;;9;9;N/A;De 26 a 40 años;;
41260476;2023-12-01 17:59:12;2023-12-11 13:44:12;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;6;;9;6;6;6;8;No;;9;9;;De 18 a 25 años;Mujer;
41390196;2023-12-09 19:09:27;2023-12-09 19:12:01;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;;;Sí;10;10;10;10;10;;10;;10;10;No;;5;10;Todo me parece bien. Muchas gracias;De 41 a 64 años;Mujer;
41392962;2023-12-10 17:22:24;2023-12-10 17:22:40;339096;;Parcial;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
41399619;2023-12-11 13:44:47;2023-12-11 13:46:02;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;;;No;;;;;;9;;;;;;;;;;9;Menos calor en las cabinas;De 26 a 40 años;;
41399654;2023-12-11 13:46:25;2023-12-11 13:49:10;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;6;6;6;9;9;9;8;;;;;;;9;Más fácil sitio web para reservar ;De 26 a 40 años;Hombre;
41399694;2023-12-11 13:49:29;2023-12-11 13:54:57;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;No;;Sí;10;;;10;;10;;;10;10;No;;10;10;Mejorar sillas de piano;De 41 a 64 años;Hombre;
41399764;2023-12-11 13:57:42;2023-12-14 17:23:00;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;;;;Sí;;;10;;De 41 a 64 años;Hombre;
41463430;2023-12-13 12:05:04;2023-12-13 12:05:26;339096;;Parcial;Desktop;;;;;Servicio de cabinas de ensayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41563562;2023-12-14 17:23:31;2023-12-14 18:39:43;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;;;No;;Sí;10;10;10;10;;10;;10;10;10;Sí;;10;10;;De 41 a 64 años;Mujer;
41564546;2023-12-14 18:40:44;2023-12-14 18:45:43;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;Sí;10;No;;;;Sí;;;;8;8;;;7;;10;Sí;10;10;8;El personal es muy amable y eficaz pero se les oye hablar a gritos en los despachos. Es molesto para las personas que están en la sala.;;;
41564616;2023-12-14 18:46:24;2023-12-14 18:53:02;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;Servicio de información general y especializada;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;;;Sí;10;10;10;;De 26 a 40 años;;
41575817;2023-12-15 09:21:37;2023-12-15 15:12:56;339096;;Completa;Tablet;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;9;No;;No;;Sí;8;;;8;10;;8;9;9;9;Sí;9;6;7;Aprovechar al máximo los recursos de cabinas. Si no hay petición de ocupación permitir usarlas con independencia de si se ha resé y usado en hora o día previo.  Y cuidar muy bien a los excelentes y muy amables profesionales que la atienden. Gracias. ;De 41 a 64 años;Mujer;
41579461;2023-12-15 15:14:29;2023-12-15 15:15:42;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;Sí;8;Sí;10;;;10;;;;;;;;;;9;;De 18 a 25 años;Hombre;
41579498;2023-12-15 15:15:59;2023-12-15 15:17:46;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;Sí;8;No;;Sí;8;No;;;;9;9;9;9;;;;;;;9;;De 26 a 40 años;Hombre;
41587716;2023-12-15 18:51:04;2023-12-15 18:54:36;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;Sí;9;Sí;9;;;10;10;;;;;;;;10;10;Que pudiera estar abierta el fin de semana ;;;
41587748;2023-12-15 18:54:44;2023-12-15 18:56:34;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;9;9;9;10;10;;;;;;;;10;10;;De 41 a 64 años;Mujer;
41587783;2023-12-15 18:58:18;2023-12-15 19:00:15;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;10;;;10;;;10;10;;De 41 a 64 años;Hombre;
41587816;2023-12-15 19:00:57;2023-12-15 19:03:14;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;9;9;8;10;;9;;10;10;Sí;10;5;9;Mejorar las cabinas de ensayo ;De 26 a 40 años;Mujer;
41587840;2023-12-15 19:03:52;2023-12-15 19:06:56;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;;;;;10;Sí;10;8;9;Habilitar más salas de pianos;De 18 a 25 años;Hombre;
41587889;2023-12-15 19:10:09;2023-12-15 19:13:07;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;;;;10;10;;;;;9;Sí;10;9;9;Posibilidad de reservar cabinas de ensayo en días contiguos ;De 41 a 64 años;Mujer;
41587922;2023-12-15 19:13:27;2023-12-15 19:17:15;339096;;Completa;Tablet;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;No;;;;10;10;10;10;10;10;10;No;;10;10;Es perfecto, no hay nada para mejorar ;De 26 a 40 años;Hombre;
41588391;2023-12-15 19:58:32;2023-12-15 19:59:38;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;7;7;7;10;10;10;10;10;10;10;Sí;10;10;10;;De 18 a 25 años;Hombre;
41588405;2023-12-15 19:59:54;2023-12-15 20:03:58;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;;10;10;;10;No;;10;10;Me gusta mucho tal cual está. Creo que presta un gran servicio como biblioteca especializada y fondo musical ;De 41 a 64 años;Mujer;
